HH1,HH2,LN,MWM1,MWM2,MWM3,MWMINT,MWM4,MWM5,MWM6D,MWM6M,MWM6Y,MWM8,MWM9,MWM17,MWM7H,MWM7M,MWM10H,MWM10M,MWM11,MWM12,MWM13,MWM14,MWM15,MWM22,MWM23,MWM24,MWMHINT,MWMFIN,MWB3M,MWB3Y,MWB4,MWB5,MWB6A,MWB6B,MWB7,MWB9,MWB10A,MWB10B,MWB11,MWB12A,MWB12B,MWB14,MWB15,MWB16,MWB17,MWB18,MWB19A,MWB19B,MWB19C,MWB19D,MWB19E,MWB19F,MWB19X,MWB19NR,MMT1,MMT2,MMT3,MMT4,MMT5,MMT6A,MMT6B,MMT6C,MMT6D,MMT6E,MMT6F,MMT6G,MMT6H,MMT6I,MMT9,MMT10,MMT11,MMT12,MCM1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MCM9,MCM10,MCM11,MCM12,MCM15,MCM16,MCM17,MCM18M,MCM18Y,MDV1A,MDV1B,MDV1C,MDV1D,MDV1E,MVT1,MVT2,MVT3,MVT5,MVT6,MVT7A,MVT7B,MVT7X,MVT7NR,MVT8,MVT9,MVT10,MVT11,MVT12,MVT13,MVT14,MVT17,MVT18A,MVT18B,MVT18X,MVT18NR,MVT19,MVT20,MVT21,MVT22A,MVT22B,MVT22C,MVT22D,MVT22E,MVT22F,MVT22X,MMA1,MMA3,MMA4,MMA5,MMA6,MMA7,MMA8M,MMA8Y,MMA11,MSB1,MSB2U,MSB2N,MSB3,MSB4,MSB6,MSB7,MSB8,MSB9,MSB12,MSB13,MHA1,MHA2,MHA3,MHA4,MHA5,MHA6,MHA7,MHA8A,MHA8B,MHA8C,MHA10,MHA24,MHA25,MHA26,MHA27,MHA28,MHA29,MHA30,MHA31,MHA32,MHA33,MHA34,MHA35,MHA36,MTA1,MTA2,MTA3,MTA4,MTA5,MTA6,MTA7,MTA8A,MTA8B,MTA8C,MTA8D,MTA8X,MTA8NR,MTA9,MTA10,MTA11,MTA12A,MTA12B,MTA12C,MTA12X,MTA12NR,MTA13,MTA14,MTA15,MTA16,MTA17,MLS1,MLS2,MLS3,MLS4,MWM25$1,MWM25$2,MWM25$3,MWM26A$1,MWM26A$2,MWM26A$3,MWM26B$1,MWM26B$2,MWM26B$3,MWM27A$1,MWM27A$2,MWM27A$3,MWM27B$1,MWM27B$2,MWM27B$3,MWM27C$1,MWM27C$2,MWM27C$3,MWM27D$1,MWM27D$2,MWM27D$3,MWM27E$1,MWM27E$2,MWM27E$3,MWM27X$1,MWM27X$2,MWM27X$3,MWM28$1,MWM28$2,MWM28$3,HH4,HH6,HH7,HH7A,MWDOI,MWAGE,MWDOB,MWDOM,MWAGEM,MMSTATUS,mwelevel,minsurance,ethnicity,ethnicity2,mnweight,wscore,windex5,windex10,wscoreu,windex5u,windex10u,wscorer,windex5r,windex10r,PSU,stratum
2,9,3,2,9,3,94,91,94,21,11,2020,2,1,1,16,29,16,29,1,1,1,1,3,2,1,1,94,3,5,2002,18,1,3,10,2,2, , ,2, , , ,95, , ,2, , , , , , , , ,0,0,3,1,2,2,1,1,2,2,1,2,2,2, ,3,1,3,2, , , , , , ,2, , ,0,1, , , , , ,8,8,8,8,8,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,3, , ,3, , , , , ,0, , , , , , , , , , ,1,1,2,1,2,2,1,8,8,8, ,2, , ,2,2, ,1,8,1,1,1,8,8,2, , , , ,2, , , , , , , , ,2, , , , , , , ,2, , , ,3,5,2,1,1, , ,2, , ,3, , , , , , , , ,C, , , , , , , , , , , ,2, , ,91,1,1,1,1451,1,1229, , ,3,3,2,1,1,1.18485125085197,.336383359783974,2,4,-.604236639109299,1,2, , , ,2,17
2,15,3,2,15,3,94,91,94,22,11,2020,2,1,1,16,50,17,11,1,1,1,1,3,2,1,1,93,3,11,1992,28,1,5, , , , , , , , , ,95, , ,1,A, , , , , , , ,1,0,3,1,2,1,1,1,2,2,1,2,2,2, ,3,1,3,1,1,2,0,2, , ,2, , ,2,1,1, ,25,9,2020,2,2,2,2,2,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2, , , ,1,8,2016, ,25,1,1,2,1, ,2, , , , ,1,1,2,1,2,2,1,1,1,2,8,2, , ,2,2, ,1,1,1,1,8,8,2,1,15,2, , ,2, , , , , , , , ,2, , , , , , , ,1,18,10,3,3,7,2,2,1, , ,2, , ,3, , , , , , , , ,C, , , , , , , , , , , ,2, , ,91,1,1,1,1451,3,1115,1400,23,1,5,1,1,1,.845658074431658,1.23926367430778,5,10,1.29257074434408,5,10, , , ,2,17
2,17,5,2,17,5,94,91,94,22,11,2020,2,1,1,17,30,17,39,1,1,1,1,3,2,1,1,94,3,8,1987,33,1,3,12,1, , , , , , , ,0,3,2,1,A, , , , , , , ,2,0,3,1,2,2,2,2,2,2,1,2,2,2, ,3,1,3,1,1,1,1,2, , ,2, , ,2,1,1, ,26,6,2019,2,2,2,2,2,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2, , , ,1,10,2013, ,19,2,4,2,1, ,2, , , , ,1,1,2,1,2,2,1,1,1,8,8,2, , ,2,2, ,8,8,1,1,1,8,2,2, , , , ,2, , , , , , , , ,2, , , , , , , ,1,20,2,1,2,8,2,1,1, , ,2, , ,5, , , , , , , , ,C, , , , , , , , , , , ,2, , ,91,1,1,1,1451,4,1052,1366,26,1,3,1,1,1,.672518283215915,.997401966049062,5,9,.784457911867778,4,8, , , ,2,17
3,4,2,3,4,2,94,91,94,25,11,2020,2,1,1,17,10,17,17,1,1,1,1,3,2,1,1,93,3,2,2000,20,1,3,12,1,2, , ,2, , , ,95, , ,1,A, , , , , , , ,1,0,3,1,3,1,1,1,2,2,1,2,2,2, ,3,1,3,2, , , , , , ,2, , ,0,1, , , , , ,8,8,8,8,8,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,3, , ,3, , , , , ,0, , , , , , , , , , ,1,1,2,1,2,2,1,8,8,8, ,2, , ,2,2, ,1,1,1,1,1,8,1,1,15,2, , ,1,2, , , , , , , ,2, , , , , , , ,1,17,2,2,3,7,2,2,1, , ,2, , ,2, , , , , , , , ,C, , , , , , , , , , , ,2, , ,91,1,1,1,1451,2,1202, , ,3,3,1,1,1,1.14190602481927,.928306247967293,5,9,.639298840267422,4,7, , , ,3,17
3,10,3,3,10,3,94,91,94,24,11,2020,2,1,1,10,16,10,22,1,1,1,1,3,2,1,1,94,3,1,1993,27,1,5, , , , , , , , , ,95, , ,1,A, , , , , , , ,2,0,3,1,3,1,2,1,2,2,1,2,2,2, ,3,1,3,2, , , , , , ,2, , ,0,1, , , , , ,8,8,8,8,8,2, , , , , , , , , ,2, , , , , , , , , , , ,1,1,2,2,2,2,2,2,2,3, , ,3, , , , , ,21,4,1, , , , , , , , ,1,1,2,1,2,2,1,1,8,8,8,1,1,2, ,2, ,1,1,1,1,1,2,2,2, , , , ,2, , , , , , , , ,2, , , , , , , ,1,16,4,2,3,7,2,1,1, , ,2, , ,3, , , , , , , , ,C, , , , , , , , , , , ,2, , ,91,1,1,1,1451,3,1117, , ,3,5,1,1,1,1.04575000076088,1.2446583459608,5,10,1.30390408815295,5,10, , , ,3,17
3,10,4,3,10,4,94,91,94,24,11,2020,2,1,1,10,51,10,57,1,1,1,1,3,2,2, ,94,3,12,1999,20,1,5, , , , , , , , , ,95, , ,1, , , ,D, , , , ,0,0,3,1,3,1,1,1,2,1,1,1,1,2, ,3,1,3,2, , , , , , ,2, , ,0,1, , , , , ,8,8,8,8,8,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,3, , ,3, , , , , ,0, , , , , , , , , , ,1,1,2,1,2,2,1,8,8,8, ,2, , ,2,2, ,8,8,1,1,1,8,1,1,19,2, , ,2, , , , , , , , ,2, , , , , , , ,1,17,3,2,3,7,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,91,1,1,1,1451,2,1200, , ,3,5,1,1,1,1.14190602481927,1.2446583459608,5,10,1.30390408815295,5,10, , , ,3,17
3,12,1,3,12,1,94,91,94,24,11,2020,1,1,1,10,31,10,36,1,1,1,1,3, , , ,94,3,3,1976,44,1,3,12,1, , , , , , , ,95, , ,1,A, , , , , , , ,3,0,3,1,3,1,1,1,2,2,1,2,2,2, ,3,1,3,1,1,2,0,2, , ,2, , ,2,1,1, ,28,4,2015,2,2,2,2,2,2, , , , , , , , , ,2, , , , , , , , , , , ,2,1,2,2,2,2,2,2,2,1,2, , , ,2,4,2003, ,20,2,4,1,1, ,2, , , , ,1,1,1,1,2,2,1,1,1,1,8,1,2,1, ,2, ,1,1,1,1,1,8,2,1,15,1,20,30,2, , , , , , , , ,2, , , , , , , ,1,18,2,3,2,8,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,91,1,1,1,1451,6,915,1240,27,1,3,1,1,1,.870355714319924,.960525657004559,5,9,.706986674379327,4,8, , , ,3,17
3,12,3,3,12,3,94,91,94,24,11,2020,2,1,1,14,29,14,34,1,1,1,1,3,2,2, ,94,3,11,2004,16,1,3,11,2,1,3,11,1,3,10, ,95, , ,1, , , ,D, , , , ,0,0,3,1,3,2,1,2,2,2,1,2,2,2, ,3,1,3,2, , , , , , ,2, , ,0,1, , , , , ,8,8,8,8,8,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,3, , ,3, , , , , ,0, , , , , , , , , , ,1,1,2,1,2,2,8,8,8,8, ,2, , ,2,2, ,2,8,8,1,8,8,1,2, , , , ,2, , , , , , , , ,2, , , , , , , ,2, , , ,2,8,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,91,1,1,1,1451,1,1259, , ,3,3,1,1,1,1.19125585220793,.960525657004559,5,9,.706986674379327,4,8, , , ,3,17
3,16,3,3,16,3,91,91,91,25,11,2020,2,1,1,9,10,9,24,1,1,1,1,3,2,2, ,92,3,10,2002,18,1,5, , , , , , , , , ,95, , ,1, , , ,D, , , , ,1,1,2,1,2,1,1,1,1,1,1,2,2,2, ,3,1,3,2, , , , , , ,2, , ,0,1, , , , , ,2,2,2,2,2,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,3, , ,3, , , , , ,0, , , , , , , , , , ,1,1,2,1,2,2,1,1,1,2,8,2, , ,1,2, ,8,8,2,2,8,2,2,2, , , , ,2, , , , , , , , ,2, , , , , , , ,2, , , ,1,9,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,91,1,1,1,1451,1,1234, , ,3,5,1,1,1,.904406280576398,1.22864501467847,5,10,1.27026263587914,5,10, , , ,3,17
3,16,4,3,16,4,91,91,91,25,11,2020,2,1,1,9,26,9,31,1,1,1,1,3,2,2, ,92,3,8,2004,16,1,3,11,2,1,3,11,1,3,10, ,95, , ,1, , , ,D, , , , ,0,1,1,1,1,1,1,1,2,2,1,2,2,2, ,3,1,3,2, , , , , , ,2, , ,0,1, , , , , ,8,2,2,2,2,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,3, , ,3, , , , , ,0, , , , , , , , , , ,1,8,2,1,8,2,1,8,8,8, ,2, , ,2,2, ,8,1,8,8,8,2,2,2, , , , ,2, , , , , , , , ,2, , , , , , , ,2, , , ,1,9,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,91,1,1,1,1451,1,1256, , ,3,3,1,1,1,.904406280576398,1.22864501467847,5,10,1.27026263587914,5,10, , , ,3,17
