"age_first_marriage","marital_status","area","region","education_level","health_insurance","ethnicity","wealth_index","current_contraceptive_use","awareness_hiv_aids","access_to_media"
25,1,1,1,5,1,1,5,1,1,1
26,1,1,1,5,1,1,5,1,1,1
20,1,1,1,5,1,1,5,1,1,1
24,1,1,1,5,1,1,5,1,1,1
26,1,1,1,5,1,1,5,1,1,1
26,1,1,1,5,1,1,5,1,1,1
25,1,1,1,5,1,1,5,1,1,1
26,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
24,1,1,1,5,1,1,5,0,1,1
25,1,1,1,NA,NA,1,NA,NA,NA,NA
25,1,1,1,5,1,1,5,1,1,1
25,1,1,1,5,1,1,5,1,1,1
20,1,1,1,5,1,1,5,1,1,1
23,1,1,1,5,1,1,5,1,1,1
23,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
NA,3,1,1,3,1,1,5,0,1,1
25,1,1,1,5,1,1,5,0,1,1
28,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,4,0,1,1
NA,3,1,1,5,1,1,4,0,1,1
NA,3,1,1,5,1,1,4,0,1,1
NA,3,1,1,5,1,1,4,0,1,1
NA,3,1,1,5,1,1,4,0,1,1
NA,3,1,1,5,1,1,4,0,1,1
19,1,1,1,3,1,1,5,1,1,1
30,1,1,1,5,1,1,5,1,1,1
26,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
NA,3,1,1,5,1,1,5,0,1,1
25,1,1,1,5,1,1,5,1,1,1
25,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
NA,3,1,1,5,1,1,5,0,1,1
NA,3,1,1,5,1,1,4,0,1,1
NA,3,1,1,5,1,1,4,0,1,1
NA,3,1,1,5,1,1,4,0,1,1
NA,3,1,1,5,1,1,4,0,1,1
26,2,1,1,5,1,1,5,0,1,1
26,2,1,1,3,1,1,5,0,1,1
25,1,1,1,5,1,1,5,1,1,1
25,1,1,1,5,1,1,5,1,1,1
25,1,1,1,5,1,1,5,1,1,1
24,1,1,1,5,1,1,5,1,1,1
24,1,1,1,5,1,1,5,1,1,1
19,1,1,1,3,1,1,5,1,1,1
22,1,1,1,3,0,1,5,1,1,1
25,1,1,1,5,1,1,5,1,1,1
28,1,1,1,3,1,1,5,1,1,1
NA,3,1,1,NA,NA,1,NA,NA,NA,NA
NA,3,1,1,3,1,1,5,0,1,1
22,1,1,1,5,1,1,5,1,1,1
23,1,1,1,5,1,1,5,NA,1,1
NA,3,1,1,5,1,1,5,0,1,1
23,1,1,1,5,1,1,5,1,1,1
19,1,1,1,2,0,1,3,0,1,1
26,1,1,1,3,1,1,5,1,1,1
23,1,1,1,3,1,1,5,1,1,1
23,1,1,1,NA,NA,1,NA,NA,NA,NA
NA,3,1,1,5,0,1,5,0,1,1
22,1,1,1,5,1,1,5,1,1,1
27,2,1,1,5,1,1,5,0,1,1
24,1,1,1,5,1,1,5,1,1,1
30,1,1,1,2,1,1,5,1,1,1
NA,3,1,1,3,1,1,5,0,1,1
20,1,1,1,3,1,1,5,0,1,1
NA,3,1,1,NA,NA,1,NA,NA,NA,NA
21,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
NA,3,1,1,5,1,1,5,0,1,1
23,1,1,1,5,1,1,5,1,1,1
22,1,1,1,4,1,1,5,1,1,1
31,1,1,1,3,1,1,3,1,1,1
25,1,1,1,5,1,1,5,1,1,1
21,1,1,1,5,1,1,5,0,1,1
24,1,1,1,5,1,1,5,1,1,1
25,1,1,1,5,1,1,5,1,1,1
20,1,1,1,2,1,1,5,1,1,1
NA,3,1,1,NA,NA,1,NA,NA,NA,NA
NA,3,1,1,5,1,1,5,0,1,1
22,1,1,1,5,1,1,5,1,1,1
23,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,3,1,1,5,0,1,1
NA,3,1,1,5,1,1,5,0,1,1
NA,3,1,1,4,1,1,5,0,1,1
19,1,1,1,3,1,1,5,1,1,1
25,2,1,1,3,1,1,4,0,1,1
NA,3,1,1,5,1,1,5,1,1,1
NA,3,1,1,NA,NA,1,NA,NA,NA,NA
23,1,1,1,3,1,1,5,1,1,1
25,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
29,1,1,1,5,1,1,5,1,1,1
25,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
NA,3,1,1,5,1,1,5,0,1,1
27,1,1,1,5,1,1,5,1,1,1
19,1,1,1,NA,NA,1,NA,NA,NA,NA
18,2,1,1,3,1,1,5,0,1,1
21,1,1,1,5,1,1,5,1,1,1
31,1,1,1,5,1,1,5,0,1,1
23,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
27,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,3,1,1,5,0,1,1
22,1,1,1,5,1,1,5,1,1,1
22,1,1,1,5,1,1,5,1,1,1
24,1,1,1,5,0,1,5,0,1,1
24,1,1,1,5,0,1,5,0,1,1
25,1,1,1,3,0,1,5,0,1,1
NA,3,1,1,5,1,1,5,0,0,1
31,1,1,1,5,1,1,5,1,1,1
27,1,1,1,5,1,1,5,0,1,1
27,1,1,1,NA,NA,1,NA,NA,NA,NA
26,1,1,1,5,1,1,5,NA,1,1
NA,3,1,1,5,1,1,4,0,1,1
23,1,1,1,5,1,1,5,0,1,1
NA,3,1,1,3,1,1,5,0,1,1
23,1,1,1,5,1,1,5,0,1,1
NA,3,1,1,5,1,1,5,0,1,1
27,1,1,1,NA,NA,1,NA,NA,NA,NA
26,1,1,1,5,0,1,5,1,1,1
20,2,1,1,3,1,1,3,0,1,1
22,1,1,1,4,0,1,5,1,1,1
27,1,1,1,5,1,1,5,1,1,1
21,1,1,1,5,1,1,5,1,1,1
20,1,1,1,2,1,1,4,0,0,1
27,1,1,1,5,1,1,5,1,1,1
26,1,1,1,5,1,1,5,1,1,1
15,1,1,1,5,1,1,5,1,1,1
26,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,4,0,1,1
NA,3,1,1,5,1,1,4,0,1,1
28,1,1,1,4,1,1,5,1,1,1
35,1,1,1,3,1,1,4,0,1,1
21,1,1,1,3,0,1,4,1,1,1
NA,3,1,1,3,0,1,4,0,1,1
25,1,1,1,5,1,1,5,0,1,1
24,1,1,1,5,1,1,5,1,1,1
31,1,1,1,5,1,1,5,0,1,1
25,1,1,1,5,1,1,5,0,1,1
NA,3,1,1,5,1,1,5,0,1,1
NA,3,1,1,NA,NA,1,NA,NA,NA,NA
NA,3,1,1,5,1,1,4,0,1,1
NA,3,1,1,5,1,1,4,0,1,1
NA,3,1,1,5,1,1,4,0,1,1
NA,3,1,1,5,1,1,4,0,1,1
24,1,1,1,5,1,1,5,1,1,1
25,1,1,1,3,1,1,5,1,1,1
26,1,1,1,5,0,1,5,1,1,1
29,1,1,1,NA,NA,1,NA,NA,NA,NA
25,1,1,1,4,0,1,5,1,1,1
18,1,1,1,3,1,1,5,1,1,1
24,1,1,1,5,1,1,5,1,1,1
23,1,1,1,5,1,1,5,0,1,1
26,1,1,1,5,1,1,5,1,1,1
23,2,1,1,5,1,1,5,0,1,1
22,1,1,1,5,0,1,5,1,1,1
25,1,1,1,5,1,1,5,0,1,1
26,1,1,1,5,1,1,5,0,1,1
NA,3,1,1,5,1,1,5,1,1,1
25,1,1,1,5,1,1,5,1,1,1
29,1,1,1,5,1,1,5,0,1,1
21,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
24,1,1,1,5,1,1,5,1,1,1
22,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,1,1,1
24,2,1,1,3,1,1,5,1,1,1
23,1,1,1,5,1,1,5,1,1,1
21,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,3,1,1,5,0,1,1
23,2,1,1,3,1,1,5,0,1,1
NA,3,1,1,3,1,1,5,0,1,1
22,1,1,1,3,1,1,4,0,1,1
NA,3,1,1,3,1,1,4,0,1,1
26,1,1,1,4,0,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
18,1,1,1,2,0,1,5,1,1,1
NA,3,1,1,3,1,1,5,0,1,1
28,2,1,1,5,1,1,5,1,1,1
22,1,1,1,5,0,1,4,1,1,1
26,1,1,1,5,1,1,5,1,1,1
21,1,1,1,5,1,1,5,1,1,1
36,1,1,1,5,1,1,5,1,1,1
23,1,1,1,5,1,1,5,0,1,1
27,1,1,1,5,1,1,5,0,1,1
22,1,1,1,3,1,1,5,1,1,1
24,1,1,1,NA,NA,1,NA,NA,NA,NA
24,1,1,1,5,0,1,5,1,1,1
21,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
NA,3,1,1,3,1,1,5,0,1,1
NA,3,1,1,5,1,1,5,0,1,1
28,1,1,1,5,1,1,5,1,1,1
27,1,1,1,2,1,1,5,1,1,1
23,1,1,1,5,0,1,5,1,1,1
26,1,1,1,5,1,1,5,1,1,1
24,1,1,1,4,1,1,5,1,1,1
20,1,1,1,3,1,1,5,1,1,1
24,1,1,1,2,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
NA,3,1,1,3,1,1,5,0,1,1
27,2,1,1,5,1,1,5,0,1,1
NA,3,1,1,5,1,1,5,1,1,1
NA,3,1,1,3,1,1,5,0,1,1
NA,3,1,1,5,1,1,3,0,1,1
21,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
30,1,1,1,3,1,1,4,1,1,1
22,1,1,1,5,1,1,5,1,1,1
17,1,1,1,5,1,2,5,1,1,1
28,1,1,1,5,1,1,5,NA,1,1
21,1,1,1,4,1,1,5,1,1,1
19,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
NA,3,1,1,5,1,1,4,1,1,1
NA,3,1,1,5,1,1,4,1,1,1
NA,3,1,1,5,1,1,4,0,1,1
25,1,2,1,5,1,1,5,1,1,1
NA,3,2,1,2,0,1,3,0,1,1
NA,3,2,1,2,1,1,3,0,1,1
23,1,2,1,5,1,1,4,1,1,1
24,1,2,1,5,1,1,5,1,1,1
22,1,2,1,3,1,1,5,1,1,1
24,2,2,1,3,1,2,4,1,1,1
23,1,2,1,5,1,1,4,1,1,1
20,1,2,1,2,1,1,5,1,1,1
NA,3,2,1,3,1,1,5,0,1,1
26,1,2,1,5,1,1,3,0,1,1
24,1,2,1,5,1,1,5,1,1,1
24,2,2,1,5,1,1,5,0,1,1
18,1,2,1,2,1,1,5,1,1,1
NA,3,2,1,3,1,1,5,0,1,1
19,1,2,1,5,1,1,5,1,1,1
21,1,2,1,5,1,1,4,1,1,1
19,1,2,1,3,1,1,5,1,1,1
17,1,2,1,2,1,1,4,0,1,1
22,1,2,1,NA,NA,1,NA,NA,NA,NA
23,1,2,1,4,1,1,4,1,1,1
22,1,2,1,5,1,1,3,1,1,1
22,1,2,1,3,1,1,5,1,1,1
NA,3,2,1,5,1,1,4,0,1,1
NA,3,2,1,4,0,1,5,0,1,1
24,1,2,1,4,1,1,5,0,1,1
24,1,2,1,5,1,1,3,1,1,1
19,1,2,1,3,1,1,3,1,1,1
23,1,2,1,2,1,1,3,0,1,1
24,1,2,1,5,1,1,5,1,1,1
22,1,2,1,3,1,1,5,1,1,1
18,1,2,1,3,1,1,3,1,1,1
23,1,2,1,2,1,1,4,0,1,1
17,1,2,1,2,1,1,5,1,1,1
NA,3,2,1,5,1,1,5,0,1,1
18,1,2,1,2,1,1,4,1,1,1
NA,3,2,1,3,1,1,4,NA,1,1
21,1,2,1,5,1,1,4,1,1,1
19,1,2,1,3,0,1,5,1,1,1
19,1,2,1,2,1,1,4,1,1,1
24,1,2,1,5,1,1,5,1,1,1
21,1,2,1,4,1,1,4,1,1,1
17,1,2,1,2,1,1,5,1,1,1
NA,3,2,1,3,1,1,5,0,1,1
17,1,2,1,2,1,1,2,1,1,1
20,1,2,1,2,1,1,5,1,1,1
20,1,2,1,2,1,1,4,1,1,1
22,1,2,1,3,1,1,3,1,1,1
18,2,2,1,3,1,1,4,0,1,1
NA,3,2,1,NA,NA,1,NA,NA,NA,NA
24,1,2,1,3,1,1,4,1,1,1
21,1,2,1,3,1,1,4,1,1,1
NA,3,2,1,5,1,1,4,0,1,1
NA,3,2,1,3,1,1,4,0,1,1
24,1,2,1,5,1,1,5,1,1,1
21,1,2,1,5,1,1,5,1,1,1
NA,3,2,1,3,1,1,5,0,1,1
21,1,2,1,3,1,1,5,0,1,1
23,1,2,1,3,1,1,5,1,1,1
NA,3,2,1,3,1,1,5,NA,1,1
22,1,2,1,3,1,1,5,1,1,1
23,1,2,1,3,1,1,5,1,1,1
18,1,2,1,2,1,1,5,1,1,1
26,1,2,1,5,1,1,2,1,1,1
23,1,2,1,4,1,1,5,1,1,1
36,2,2,1,2,0,1,2,0,1,0
20,1,2,1,2,1,1,5,1,1,1
20,1,2,1,5,1,1,5,1,1,1
18,1,2,1,3,1,1,4,1,1,1
23,1,2,1,3,1,1,3,1,1,1
NA,3,2,1,3,1,1,3,0,1,1
18,1,2,1,2,1,1,5,1,1,1
26,1,2,1,2,1,1,5,0,1,1
NA,3,2,1,5,1,1,5,0,1,1
22,1,2,1,2,1,1,5,1,1,1
NA,3,2,1,3,1,1,5,0,1,1
23,1,2,1,2,1,1,4,1,1,1
NA,3,2,1,3,1,1,4,0,1,1
20,1,2,1,2,1,1,4,0,1,1
18,1,2,1,3,0,1,4,1,1,1
16,1,2,1,2,1,1,3,0,1,1
22,1,2,1,5,1,1,3,1,1,1
18,1,2,1,2,1,1,4,1,1,1
28,1,2,1,1,1,1,2,0,1,1
20,1,2,1,3,1,1,5,1,1,1
NA,3,2,1,3,1,1,5,0,1,1
23,1,2,1,2,1,1,4,1,1,1
20,1,2,1,3,1,1,5,1,1,1
22,1,2,1,3,1,1,5,1,1,1
19,1,2,1,2,1,1,3,0,1,1
21,1,2,1,2,1,1,5,1,1,1
NA,3,2,1,5,1,1,5,0,1,1
NA,3,2,1,2,1,1,5,0,1,1
22,1,2,1,5,0,1,5,1,1,1
27,1,2,1,2,1,1,5,0,1,1
NA,NA,2,1,3,1,1,5,NA,NA,1
19,1,2,1,3,1,1,5,1,1,1
19,1,2,1,2,1,1,5,1,1,1
NA,3,2,1,2,1,1,5,0,1,1
18,1,2,1,2,1,1,4,NA,1,1
18,1,2,1,3,0,1,5,0,1,1
18,1,2,1,1,1,1,4,1,1,1
17,1,2,1,3,1,1,4,1,1,1
NA,3,2,1,2,1,1,4,0,1,1
19,1,2,1,3,1,1,4,0,1,1
16,1,2,1,2,1,1,4,1,1,1
24,1,2,1,3,0,1,4,1,1,1
21,1,2,1,2,0,1,2,1,1,1
19,1,2,1,3,1,1,5,1,1,1
33,1,2,1,3,1,1,5,1,1,1
NA,3,2,1,3,1,1,5,NA,1,1
21,1,2,1,2,1,1,5,1,1,1
NA,3,2,1,2,1,1,5,0,1,1
24,1,2,1,5,1,1,5,1,1,1
18,1,2,1,2,1,1,5,1,1,1
NA,3,2,1,2,0,1,5,0,1,1
17,1,2,1,3,0,1,4,1,1,1
20,1,2,1,2,1,1,4,1,1,1
NA,3,2,1,5,1,1,4,0,1,1
NA,3,2,1,5,1,1,4,0,1,1
NA,3,2,1,5,1,1,4,0,1,1
21,1,2,1,5,1,1,5,0,1,1
21,1,2,1,5,1,1,5,1,1,1
20,1,2,1,3,1,1,4,0,1,1
18,1,2,1,3,1,1,5,1,1,1
22,1,2,1,3,1,1,5,1,1,1
21,1,2,1,4,1,1,4,1,1,1
28,1,2,1,3,1,1,5,1,1,1
21,1,2,1,5,1,1,4,1,1,1
22,1,2,1,3,1,1,4,1,1,1
21,1,2,1,3,1,1,3,1,1,1
20,2,1,1,5,1,1,5,0,1,1
23,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,3,1,1,5,0,1,1
NA,3,1,1,5,1,1,5,0,1,1
28,1,1,1,5,1,1,5,1,1,1
26,1,1,1,5,1,1,5,1,1,1
28,1,1,1,5,1,1,5,1,1,1
26,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,3,1,1,5,0,1,1
24,2,1,1,5,1,1,5,0,1,1
NA,3,1,1,3,1,1,5,0,1,1
24,1,1,1,5,1,1,5,1,1,1
23,2,1,1,5,0,1,5,0,1,1
NA,3,1,1,3,1,1,5,0,1,1
26,1,1,1,5,1,1,5,1,1,1
23,1,1,1,5,1,1,5,1,1,1
23,1,1,1,5,1,1,5,1,1,1
24,1,1,1,5,0,1,5,1,1,1
20,1,1,1,5,0,1,5,1,1,1
25,1,1,1,5,1,1,5,1,1,1
17,1,1,1,5,1,1,5,1,1,1
26,1,1,1,5,1,1,5,0,1,1
25,1,1,1,5,1,1,5,1,1,1
25,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
26,1,1,1,5,1,1,5,1,1,1
19,1,1,1,5,1,1,5,1,0,1
NA,3,1,1,5,1,1,5,0,1,1
23,1,1,1,5,1,1,5,1,1,1
32,1,1,1,5,1,1,5,NA,1,1
27,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,3,1,1,5,0,1,1
25,1,1,1,5,1,1,5,1,1,1
26,1,1,1,5,1,1,5,0,1,1
23,1,1,1,5,1,1,5,1,1,1
17,1,1,1,3,1,1,5,0,1,1
21,1,1,1,3,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
NA,3,1,1,3,1,1,5,0,1,1
27,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
25,1,1,1,5,1,1,5,1,1,1
24,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
17,1,1,1,5,1,1,5,1,1,1
17,1,1,1,2,0,1,5,1,1,1
28,1,1,1,5,1,1,5,1,1,1
21,1,2,1,NA,NA,1,NA,NA,NA,NA
21,1,2,1,NA,NA,1,NA,NA,NA,NA
NA,3,2,1,5,1,1,4,0,1,1
21,1,2,1,NA,NA,1,NA,NA,NA,NA
23,1,2,1,5,1,1,4,1,1,1
25,1,2,1,5,1,1,4,0,1,1
21,1,2,1,5,1,1,4,1,1,1
25,1,2,1,5,1,1,5,1,1,1
25,1,2,1,5,1,1,5,1,1,1
NA,3,2,1,5,1,2,5,0,1,1
21,1,2,1,NA,NA,1,NA,NA,NA,NA
21,1,2,1,NA,NA,1,NA,NA,NA,NA
29,1,2,1,5,1,1,4,NA,1,1
24,1,2,1,5,1,1,5,1,1,1
21,1,2,1,5,0,1,5,1,1,1
21,1,2,1,5,1,1,5,NA,1,1
NA,3,2,1,5,1,1,5,0,1,1
26,1,2,1,5,1,1,5,1,1,1
28,1,2,1,3,1,1,5,1,1,1
20,1,2,1,2,1,1,5,1,1,1
23,1,2,1,4,1,1,4,1,1,1
20,1,2,1,5,1,1,5,1,1,1
20,1,2,1,3,1,1,5,1,1,1
20,1,2,1,3,1,1,4,1,1,1
NA,3,2,1,5,1,1,4,0,1,1
29,1,2,1,3,1,1,5,1,1,1
NA,3,2,1,5,1,1,5,0,1,1
21,2,2,1,5,1,1,5,0,1,1
25,1,2,1,5,1,1,5,1,1,1
24,1,2,1,5,1,1,5,1,1,1
25,1,2,1,5,1,1,5,1,1,1
22,1,2,1,4,1,1,5,1,1,1
NA,3,2,1,5,1,1,5,0,1,1
26,1,2,1,2,1,1,5,1,1,1
20,1,2,1,3,0,1,4,1,1,1
NA,3,1,1,5,1,1,3,0,1,1
24,1,1,1,5,1,1,5,1,1,1
